src,dst
4958,2938
1477,2948
2914,2679
3897,2493
5940,2387
5094,2574
1073,2168
5701,2491
8320,2676
5791,2818
5284,2350
5377,2963
1104,2181
8436,2736
5105,2690
3125,2706
4669,2722
9988,2061
4978,2492
9614,2926
3328,2286
5729,2331
2054,2742
2381,2614
6794,2335
6090,2489
10124,2469
9167,2938
2459,2817
8025,2894
5135,2615
9007,2496
4097,2401
1508,2407
8470,2154
2061,2770
6053,2136
3236,2839
3065,2798
3762,2321
10020,2219
7235,2097
1139,2135
3797,2593
4035,2027
8545,2292
1751,2725
7083,2020
1122,2743
8201,2207
3332,2854
9495,2002
10757,2043
7135,2981
8639,2331
9845,2677
10961,2234
7174,2600
9760,2526
8680,2115
1205,2575
10777,2358
1722,2114
10955,2673
5905,2963
1923,2936
8764,2302
1001,2993
7701,2445
5268,2435
3112,2087
10377,2533
3792,2115
9185,2401
10145,2022
6460,2742
7478,2355
2142,2440
5141,2932
6886,2557
10606,2435
3587,2595
4814,2390
4131,2832
3274,2869
8264,2534
4184,2645
7552,2037
6280,2537
8206,2622
10923,2397
8621,2348
7394,2220
10736,2747
2966,2682
1508,2366
6368,2200
10201,2726
7446,2350
6875,2344
4831,2083
4725,2645
3682,2921
1221,2121
3325,2805
3896,2883
10281,2542
9990,2658
1516,2687
9734,2375
3081,2177
3961,2548
3358,2184
6102,2523
2874,2309
3130,2063
2032,2448
5254,2347
8139,2195
8968,2106
6252,2880
9532,2955
8670,2815
6036,2998
9923,2582
9682,2851
8726,2241
4549,2539
3643,2681
1449,2011
5941,2435
9302,2866
5415,2684
5572,2643
1667,2895
1854,2595
7180,2020
6414,2332
7894,2419
2510,2166
9191,2560
10273,2445
8955,2937
2188,2719
9601,2883
4633,2188
7528,2209
4811,2459
3034,2242
4620,2829
8628,2305
5357,2323
10652,2371
10198,2985
6707,2598
2957,2050
6659,2724
5248,2149
3193,2057
1061,2212
1427,2098
9906,2697
1228,2141
8280,2544
2884,2790
7231,2571
8080,2176
9997,2762
6409,2321
2952,2647
9819,2644
8805,2295
8065,2653
7118,2543
2964,2476
1695,2206
1699,2400
4419,2259
6046,2968
9846,2877
3288,2658
9877,2280
9680,2349
2332,2621
4529,2443
3521,2741
4725,2295
4368,2860
2414,2349
2607,2883
1067,2639
8891,2674
9334,2339
4584,2105
4766,2277
6986,2330
8271,2163
10367,2495
5112,2179
4068,2703
3309,2363
3027,2381
1922,2034
8640,2220
9800,2448
7242,2844
3791,2813
6617,2426
8093,2172
2192,2420
8338,2186
10890,2073
1098,2794
7386,2849
4190,2472
9718,2227
6864,2221
4374,2296
5814,2314
5976,2352
7601,2644
10263,2234
5179,2464
10912,2147
9523,2505
3454,2574
1342,2562
9297,2544
9132,2765
7011,2391
7946,2685
10377,2332
9362,2338
2352,2192
2740,2352
3662,2577
5152,2780
10681,2878
2899,2500
3576,2463
7855,2365
10630,2162
6779,2451
8052,2073
3262,2867
4792,2256
7900,2497
9313,2796
1622,2964
6349,2812
6444,2387
1722,2161
9147,2822
10166,2352
10882,2743
7143,2223
7887,2473
2755,2593
2784,2871
4857,2403
4921,2725
2468,3000
3475,2578
3226,2864
7701,2776
2555,2067
7384,2282
2775,2613
3107,2520
1582,2914
5214,2237
2455,2820
6479,2324
8296,2176
9596,2369
10917,2563
3007,2686
7873,2250
6850,2353
10240,2889
9176,2699
1407,2993
7586,2074
6353,2254
1121,2417
5492,2884
5905,2439
3245,2457
9480,2564
7893,2316
2880,2049
3785,2703
4439,2510
6505,2631
10652,2488
7714,2548
6942,2779
4443,2614
9874,2139
6556,2883
5861,2343
3209,2916
10595,2099
7867,2744
7009,2914
7249,2579
6340,2351
2999,2370
1404,2131
1170,2921
8274,2584
7298,2846
2559,2377
3111,2143
9084,2845
8764,2347
10968,2521
8115,2771
7071,2804
6237,2029
7975,2925
8050,2649
10059,2886
3107,2945
10639,2996
2395,2292
2482,2671
5599,2771
10066,2901
8311,2049
6886,2990
1605,2238
10893,2823
6837,2566
8150,2662
4200,2122
7451,2166
7501,2666
9487,2512
7451,2102
2202,2333
10643,2748
2301,2439
2771,2430
1201,2550
5085,2032
7437,2309
9330,2420
7823,3000
4484,2459
8539,2717
5044,2980
3289,2060
8755,2133
3618,2363
4228,2820
6132,2229
2504,2069
7378,2354
9301,2755
5773,2641
6481,2084
5669,2276
3925,2882
5438,2723
10385,2482
1523,2137
1447,2366
6869,2410
8380,2231
7531,2451
5328,2511
9805,2663
2578,2042
9407,2724
9411,2356
8404,2599
6657,2745
8578,2848
7139,2156
8291,2878
10995,2834
3913,2599
6345,2754
4108,2009
3736,2837
4270,2208
9321,2695
1261,2705
5017,2771
8199,2251
7165,2598
3212,2091
1101,2504
1735,2876
8046,2272
5246,2551
1961,2913
3610,2629
3207,2377
6627,2563
4421,2013
2356,2640
2224,2486
5001,2582
1646,2193
8018,2760
10678,2436
7948,2217
4713,2017
8455,2334
1724,2004
3147,2255
5140,2497
10217,2326
10649,2442
9849,2297
5319,2808
4489,2116
9005,2941
7317,2161
1234,2853
3848,2502
5100,2777
3035,2892
2215,2182
10859,2704
2646,2157
4632,2781
9941,2620
2019,2084
3243,2711
3313,2535
6162,2138
3824,2614
5975,2669
1915,2414
3985,2280
10245,2832
3283,2898
10272,2370
8318,2829
9267,2640
7869,2557
3556,2973
7696,2306
4125,2417
5096,2211
9054,2972
3425,2688
6671,2393
8266,2681
5985,2270
3354,2421
3985,2257
9321,2053
9334,2201
2002,2748
2142,2415
6986,2627
1367,2183
4945,2369
1863,2105
2585,2534
8165,2192
2979,2182
1597,2523
2547,2983
2018,2015
1908,2446
8745,2605
2259,2409
3859,2993
10876,2298
2452,2427
3842,2736
2695,2771
8336,2749
8190,2676
6126,2615
8454,2058
6441,2992
9422,2608
7152,2782
8543,2901
9787,2845
6776,2880
9157,2596
1339,2415
3278,2798
9574,2564
2193,2174
1680,2442
10055,2417
9874,2818
9555,2671
2922,2734
6942,2173
10426,2025
3957,2067
4835,2079
8610,2668
1373,2566
1706,2122
6033,2801
2847,2386
3846,2218
5919,2867
4775,2013
9452,2390
4374,2409
7250,2463
1579,2967
6788,2462
9426,2924
2343,2506
3007,2485
8614,2032
9078,2029
6315,2763
4029,2993
7675,2529
6654,2335
5495,2450
10885,2538
7849,2230
6071,2902
9245,2462
1881,2804
4684,2222
9225,2019
9980,2093
5131,2161
4197,2134
9596,2094
8067,2113
4087,2890
7743,2550
3053,2261
5623,2036
5360,2255
3839,2071
1025,2132
2235,2545
9487,2554
7423,2818
2983,2817
10652,2399
6304,2169
10750,2485
8447,2101
2849,2243
10544,2427
1498,2490
1172,2367
3237,2235
8880,2159
7066,2207
5305,2195
7063,2533
9537,2508
9264,2829
6813,2518
7498,2696
1504,2074
2994,2128
6940,2173
9096,2568
1559,2042
6981,2819
10119,2350
3547,2977
1130,2437
1585,2382
10317,2040
5911,2353
2978,2607
8218,2337
2379,2273
4531,2664
9809,2108
10628,2851
3183,2809
2058,2534
10473,2898
9679,2903
10266,2136
6259,2702
5977,2492
4835,2199
9917,2741
8082,2231
3371,2860
6521,2243
6651,2106
2038,2195
4762,2136
8691,2327
4846,2638
5521,2016
10100,2065
3598,2751
4765,2798
7841,2336
10581,2380
1100,2215
10877,2832
3561,2706
7526,2488
3180,2776
4201,2191
1823,2422
5795,2882
1597,2365
4777,2002
4188,2628
7752,2419
1551,2445
6780,2256
6769,2948
2629,2506
5663,2412
2414,2648
7487,2727
10562,2276
2292,2891
2354,2600
4921,2082
10448,2495
4646,2013
6262,2166
10194,2519
7396,2256
10308,2556
1207,2984
4357,2009
4114,2000
6805,2155
7855,2328
6453,2108
5573,2696
10654,2148
3556,2190
6781,2024
4727,2761
5040,2889
6496,2631
6416,2703
10355,2648
5403,2068
6713,2607
3890,2698
8926,2917
8121,2505
7283,2394
5226,2937
4021,2196
4588,2778
1741,2016
4338,2612
6240,2136
1044,2603
9937,2220
7466,2369
4556,2785
3541,2594
9085,2212
9990,2901
7916,2195
10929,2069
7186,2289
6744,2292
7679,2447
10000,2237
8575,2805
2084,2400
4885,2776
5811,2436
5991,2322
6448,2453
1799,2824
4934,2483
10460,2141
8006,2848
1275,2072
5359,2055
4877,2554
8352,2873
2166,2948
7373,2677
8488,2623
4554,2818
4292,2891
9838,2194
7270,2126
1760,2906
5497,2261
9830,2129
9355,2994
4520,3000
3001,2899
6876,2813
5827,2464
1682,2509
7337,2083
3732,2214
4426,2535
9404,2064
8315,2161
2613,2841
8445,2622
3526,2672
7553,2946
1521,2176
6173,2500
5240,2970
5049,2149
6460,2117
3553,2482
1098,2484
9394,2373
5490,2422
2330,2071
7696,2827
4579,2766
5956,2543
10576,2045
1544,2296
2413,2118
2334,2567
10128,2098
5135,2551
2800,2407
2066,2324
1352,2162
4277,2183
10857,2014
1844,2364
6533,2437
8211,2344
2030,2513
10869,2044
2096,2908
8536,2202
3075,2252
4060,2082
4652,2712
1356,2615
4588,2224
2754,2817
10084,2378
5930,2710
1737,2809
6337,2731
3060,2037
10003,2662
6995,2487
3155,2481
9274,2429
5470,2755
5770,2969
5898,2915
9734,2112
4592,2558
10555,2896
6821,2988
2993,2907
5536,2732
10284,2022
2339,2194
1681,2189
4428,2366
6517,2490
5899,2796
3001,2303
9498,2175
9385,2149
8595,2892
4572,2358
7987,2434
3203,2844
2164,2223
7295,2427
3159,2779
8989,2235
8533,2327
7223,2307
6855,2497
9678,2178
5947,2821
4452,2804
3299,2930
1986,2563
1146,2286
5700,2175
9672,2199
8550,2283
5217,2675
3610,2693
9962,2271
7566,2460
10701,2113
9591,2636
10475,2786
1096,2301
3181,2249
8217,2631
6237,2350
1242,2657
2868,2835
10646,2846
9755,2188
1139,2475
2139,2678
7402,2406
2811,2446
1777,2848
6964,2436
5315,2277
9731,2879
5157,2290
9882,2137
7758,2673
7044,2984
7012,2267
1651,2873
6306,2852
4263,2889
2969,2378
7088,2428
7576,2521
2905,2895
7700,2311
7426,2880
2691,2662
2925,2535
6821,2516
7618,2220
7137,2484
1260,2937
6266,2165
7966,2419
5780,2032
4251,2346
2694,2768
7492,2977
4621,2995
2797,2863
7905,2506
3175,2536
1703,2914
1485,2698
4135,2653
9808,2747
9252,2831
7605,2074
8770,2631
5471,2937
8179,2768
4040,2528
9764,2152
2113,2985
2219,2572
5201,2850
9093,2648
2387,2733
2788,2988
7240,2951
9680,2515
7352,2417
4533,2852
3186,2524
10830,2339
10015,2423
1374,2410
4201,2052
6148,2735
3780,2482
6066,2427
6234,2459
7754,2115
6832,2620
7694,2116
5542,2314
3325,2336
7214,2097
6064,2517
6758,2786
5605,2977
6453,2351
8021,2294
4876,2326
1389,2377
1276,2374
10653,2761
5108,2770
3635,2021
5401,2155
2023,2587
2702,2921
4410,2077
7184,2110
2440,2873
2099,2599
8237,2009
7335,2557
5508,2794
3439,2932
4545,2217
3956,2938
7706,2699
10541,2218
8847,2166
10663,2515
5318,2293
2568,2907
7186,2730
4792,2029
7543,2242
2497,2832
5622,2507
9347,2139
5566,2943
7600,2519
3122,2344
2632,2814
6828,2235
1808,2316
10806,2711
2113,2134
8318,2392
9676,2996
8886,2842
10177,2033
3556,2579
2834,2324
3119,2421
7194,2264
6679,2903
7451,2867
5348,2947
2180,2932
7637,2445
1905,2695
6674,2611
8571,2647
8598,2181
8875,2654
8783,2528
2243,2356
7278,2738
6470,2250
2362,2316
1841,2466
2778,2264
7225,2539
8728,2207
4748,2396
8112,2854
9822,2311
1699,2217
2679,2692
5561,2580
4133,2064
1198,2830
8492,2347
8280,2357
1655,2750
5799,2426
3574,2932
6003,2375
9159,2792
1291,2983
8261,2416
2873,2774
9893,2231
5866,2296
3306,2485
10858,2474
5162,2883
7868,2679
9950,2542
7485,2426
1274,2436
6239,2371
6659,2107
4364,2757
4282,2225
2728,2672
10152,2256
9876,2895
9668,2234
2070,2206
10897,2390
9397,2121
5586,2376
1975,2719
3326,2169
6401,2680
9625,2412
1575,2891
2752,2818
2968,2980
8601,2621
5103,2787
7450,2381
2983,2645
7930,2077
3072,2053
6184,2192
5477,2858
6438,2765
6088,2383
7515,2095
9132,2864
10624,2069
4037,2749
6530,2304
3562,2995
8487,2718
10543,2396
2291,2857
10914,2305
7230,2962
3625,2033
1388,2482
1356,2985
4303,2701
10280,2579
5426,2544
7828,2397
9928,2486
2832,2995
8168,2090
9083,2070
3556,2997
5562,2323
10837,2789
6780,2282
9190,2913
10168,2356
9288,2815
3124,2821
2756,2470
9521,2418
1437,2100
3254,2322
4270,2242
10184,2266
9718,2271
3282,2389
6462,2568
2128,2457
10620,2520
2104,2376
10137,2785
6121,2433
1489,2988
6704,2075
5658,2290
10106,2726
2979,2284
6685,2194
5234,2612
9666,2971
5376,2151
7071,2038
1919,2194
10798,2984
3654,2938
1444,2687
3361,2393
5881,2393
8752,2192
2348,2223
5517,2015
8560,2543
4258,2139
4558,2257
1989,2844
9719,2733
9753,2127
2320,2013
8306,2601
10036,2028
8143,2534
5978,2857
4556,2232
2681,2115
5872,2407
10797,2762
9806,2507
10330,2415
4769,2232
3544,2018
6408,2099
7798,2075
4792,2299
7140,2353
1019,2541
7310,2722
4010,2281
3830,2978
1726,2514
8322,2080
6091,2397
8964,2004
7379,2526
4661,2734
7044,2247
7134,2234
9920,2461
3347,2308
9722,2490
4228,2298
6290,2091
2356,2475
10662,2379
7955,2970
3533,2825
7404,2417
9248,2917
4314,2604
5455,2208
7352,2110
4026,2977
1694,2464
5309,2827
8233,2779
5826,2833
7206,2224
5488,2902
7669,2926
2393,2269
8344,2630
1403,2016
2238,2177
5140,2148
8415,2836
10719,2280
8013,2156
5319,2742
10078,2999
2767,2567
10857,2397
3212,2273
10502,2039
1639,2613
4622,2890
7303,2061
5224,2227
8060,2145
6089,2236
8297,2833
7047,2768
6097,2068
10142,2388
9289,2253
7253,2061
10955,2385
7045,2356
1947,2112
8904,2269
2553,2960
2785,2365
1499,2693
3802,2474
6836,2189
6097,2229
7936,2384
1133,2861
3480,2457
10320,2522
2988,2476
10051,2646
5391,2339
1794,2800
8601,2117
9008,2226
5848,2013
10389,2972
6930,2823
2637,2402
9259,2423
6525,2573
8273,2207
5685,2446
9916,2426
8302,2464
5227,2293
8109,2279
1268,2464
8784,2618
4234,2037
6320,2573
3187,2719
3014,2567
3780,2932
5870,2811
2806,2417
6642,2536
4432,2220
7204,2719
7081,2023
1116,2316
1897,2357
10171,2748
2144,2015
2126,2131
5380,2791
10193,2266
5592,2405
9804,2175
7636,2138
8577,2160
2696,2660
10896,2816
9983,2532
9276,2459
1206,2732
3191,2616
1775,2665
1230,2006
7003,2335
1887,2128
7402,2737
9275,2197
8225,2987
6622,2675
3528,2616
6816,2780
6651,2597
5761,2645
2631,2966
5472,2950
2449,2425
6284,2352
2765,2301
7119,2317
1026,2741
10686,2475
3835,2108
9045,2421
7154,2643
2955,2137
10980,2099
4756,2604
7368,2076
6936,2963
4643,2906
9167,2125
9179,2316
4041,2677
6043,2932
3736,2678
3874,2473
10497,2305
7169,2393
3375,2399
6692,2031
6842,2160
9679,2064
9591,2727
1892,2568
2916,2764
3358,2849
1725,2954
4776,2254
3470,2166
6467,2683
10852,2474
3445,2926
7269,2866
10054,2851
9895,2198
4550,2345
7941,2873
8829,2167
3133,2049
1034,2165
8623,2674
5373,2851
1725,2816
3289,2550
8904,2262
7918,2646
5782,2680
7932,2185
